fbln1YearWebPayment,fblnAddressChange3Months,fblnAllAccountsCeased,fblnAllAccountsOpen,fblnAllTimeAuditCount,fblnAutomatedLetterSent,fblnDeactivatedCredit1Year,fblnInState,fblnNameChange3Months,fblnNonfiler,fblnPhoneChange3Months,fcurAuditPostings,fcurBalance,fcurMaxWebPayment1Year,fcurMinWebPayment1Year,flngAccountCount,flngAccountsWithBalanceCount,flngCeasedAccountCount,flngDaysOpen,flngDaysSinceLastCollection,flngOpenAccountCount,flngOpenPeriodCount,flngPriorCollectionsCount,fstrCollectDistrict,fstrCustomerType,fstrTaxType,fblnTargetSelfCured
1,0,0,0,0,0,0,1,0,0,0,0,6567.35,2813.22,210.04,8,3,3,3,0,5,0,1,District 7,COR,Sales,0
0,0,0,0,10,0,0,1,0,0,1,32337301.97,218295,0,0,11,7,1,3,939,10,0,1,District 7,COR,Sales,0
0,0,0,0,9,0,0,0,0,0,0,988127.39,68780.8,0,0,12,3,7,3,7,5,0,1,District 1,COR,Sales,0
0,0,0,1,4,0,0,0,0,0,0,50011.63,443.92,0,0,5,5,0,3,360,5,1,1,District 1,COR,Sales,0
1,0,1,0,0,0,0,1,0,1,0,0,2802.27,1865.64,100,4,3,4,3,165,0,2,1,District 2,LLC,Sales,0
0,0,0,0,0,0,0,1,0,0,0,0,2879.62,0,0,6,4,2,3,-1,4,0,0,District 2,SCO,Withholding,0
0,0,0,0,0,0,0,1,0,0,0,0,2121.93,0,0,6,4,2,3,1,4,0,1,District 2,COR,Withholding,0
0,0,0,1,0,0,0,1,0,0,0,0,607.8,0,0,1,1,0,4,183,1,0,1,District 0,TRS,Corporate Income,1
1,1,0,1,1,0,0,1,0,0,0,0,15299.68,217000,217000,1,1,0,4,1,1,0,1,District 7,COR,Corporate Income,0
0,0,1,0,0,0,0,0,0,0,0,0,2568.38,0,0,1,1,1,4,-1,0,0,0,District 1,PAR,Corporate Income,1
0,0,1,0,0,0,0,0,0,0,0,0,5803.5,0,0,1,1,1,4,-1,0,0,0,District 16,PAR,Corporate Income,0
0,0,0,1,3,0,0,0,0,0,0,-318306,5415.11,0,0,2,2,0,4,85,2,0,1,District 1,COR,Corporate Income,0
0,0,0,0,3,0,0,0,0,0,0,30948.23,201609,0,0,2,1,1,4,125,1,0,1,District 1,COR,Corporate Income,0
0,0,1,0,0,0,0,1,0,0,0,0,6320.25,0,0,2,2,2,4,83,0,0,1,District 16,PAR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,397.4,0,0,3,2,0,4,-1,3,0,0,District 2,COR,Corporate Income,1
1,0,0,1,0,0,0,1,0,0,0,0,594.61,105,105,3,2,0,4,1133,3,0,1,District 1,SCO,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,40590.24,0,0,3,1,0,4,805,3,0,1,District 16,COR,Corporate Income,0
0,0,1,0,0,0,0,1,0,0,0,0,363.4,0,0,3,1,3,4,331,0,0,1,District 7,SCO,Corporate Income,0
0,0,0,1,1,0,0,0,0,0,0,0,3529.66,0,0,4,2,0,4,260,4,0,1,District 0,COR,Corporate Income,0
0,0,0,1,2,0,0,0,0,0,0,794783.73,120883.07,0,0,4,4,0,4,91,4,0,1,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,333.26,0,0,4,1,0,4,1512,4,0,1,District 2,SCO,Corporate Income,1
0,0,1,0,1,0,0,1,0,0,0,833.25,831.4,0,0,4,1,4,4,133,0,0,1,District 2,SCO,Corporate Income,1
0,0,1,0,0,0,0,1,0,0,0,0,69.29,0,0,4,2,4,4,100,0,0,1,District 16,COR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,811.35,0,0,5,5,0,4,53,5,0,1,District 7,SCO,Corporate Income,0
0,0,0,1,8,0,1,0,0,0,0,13388062.93,1385465.47,0,0,5,5,0,4,1157,5,0,1,District 1,COR,Corporate Income,0
1,1,0,1,0,0,0,1,0,0,0,0,1565.67,856,574,5,4,0,4,0,5,0,1,District 13,COR,Corporate Income,0
0,0,0,1,9,0,1,0,0,0,1,14676958.23,341499.9,0,0,5,5,0,4,66,5,0,1,District 1,COR,Corporate Income,0
0,0,0,0,0,0,0,1,0,0,0,0,1118.8,0,0,5,3,1,4,394,4,0,1,District 2,SCO,Corporate Income,1
0,0,1,0,0,0,0,0,1,1,0,0,6555.91,0,0,1,1,1,4,338,0,1,1,District 1,COR,Corporate Income,0
0,0,0,0,0,0,0,1,0,1,0,0,423.3,0,0,4,1,3,4,-1,1,1,0,District 16,PAR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,2233.63,0,0,2,2,0,4,-1,2,0,0,District 7,TRS,Pass Through,0
0,0,0,1,0,0,0,1,0,0,0,0,531.26,0,0,2,1,0,4,433,2,0,1,District 7,IND,Sales,1
1,0,0,1,0,0,0,1,0,0,0,0,3392.67,1992.13,1907.51,3,3,0,4,-1,3,0,0,District 4,SCO,Sales,0
0,0,1,0,0,0,0,1,0,0,0,0,289.14,0,0,3,1,3,4,178,0,0,1,District 13,COR,Sales,0
0,0,0,1,0,0,0,1,0,0,0,0,135.03,0,0,4,4,0,4,51,4,0,1,District 13,COR,Sales,0
0,0,0,1,0,0,0,1,0,0,0,0,147.78,0,0,4,3,0,4,259,4,0,1,District 2,COR,Sales,0
1,0,0,1,0,0,0,1,0,0,0,0,86.15,3270,36.58,4,3,0,4,195,4,0,1,District 16,COR,Sales,0
0,0,0,0,0,0,0,1,0,0,0,0,1055.2,0,0,4,1,3,4,-1,1,0,0,District 8,SCO,Sales,0
