flngAuditYear,fstrFiling,fstrClassification,fintPreviousAudits,fstrIndustry,flngSiteCount,fcurTotalReceipts,fcurTaxableReceipts,fdblFoodSalesPercent,fdblLiquorSalesPercent,fdblDeductionsToReceipts,fdblResaleToReceipts,fcurInterstateToReceipts,fcurSalesTax,fcurUseTax,fcurAverageWages,flngCollectCount,flngYearsOpen,flngEmployeeCount,fdblReceiptsChangePercent,fdblUseTaxChangePercent,fblnHasWTHAccount,fblnHasCITAccount,fcurCITTotalIncome,fblnSmallBusiness,fblnInState,fblnNonFiler,fblnTargetOver150PerHour,flngAccountKey
2012,Monthly,3,0,Unknown,1,508670.5465,0,0,0,0.9,0,0.5,1986.0633,0,14883,0,38,0,0.1,0,1,0,0,1,0,0,0,5266
2014,Monthly,4,0,Hotel,1,29752.7723,24512,0,0.3,0.1,0,0,1973.5365,0,22152.6187,1,8,4,0,0,1,1,-30924,1,1,0,0,5267
2011,Monthly,4,0,Unknown,1,18190.036,12514,0,0.2,0.1,0,0,1097.5945,0,15733.2687,1,7,0,0.2,0,1,1,4437,1,1,0,0,5268
2013,Monthly,2,0,Unknown,1,0,0,0,0,0,0,0,0,0,38946.8671,1,0,1,0,0,1,1,-29572,1,1,1,0,5269
2009,Quarterly,1,0,Unknown,1,1800.5151,1703,0,0,0.4,0,0,63.1554,0,0,0,3,0,0,0,0,1,0,1,0,0,0,5270
2009,Quarterly,4,0,Unknown,1,11667.7419,0,0.5,0,0,0,0,8.9354,5.0967,3600,1,3,0,0,0,1,0,0,1,1,0,0,5271
2014,Annual,2,0,Technology,1,0,0,0,0,0,0,0,0,201.1176,13458.52,0,18,0,0,-0.3,1,1,737298,1,0,0,0,5272
2009,Monthly,4,0,Unknown,1,523024.1145,141160,0,0,0.8,0,0,9672.7959,2.177,1301056.25,0,8,0,-0.1,-0.4,1,1,133161,1,1,0,0,5273
2010,Monthly,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,14872.5,1,1,7,0,0,1,1,-20755,1,1,0,1,5274
2014,Monthly,4,0,Unknown,1,343782.0645,9471,0,0,1,0,1,891.0322,0,75000,0,1,5,0,0,1,1,53588,1,1,1,0,5275
2011,Monthly,3,0,Unknown,1,60801.6583,5833,0,0,0.5,0.1,0,2356.45,0,0,0,14,0,-0.1,0,1,0,0,1,0,0,0,5276
2014,Monthly,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,73832.6437,1,0,0,0,0,1,1,-14288.5,1,1,1,0,5277
2014,Monthly,1,0,Manufacturing,1,43819.0487,541107,0,0,0.2,0,0,2138.9756,0,19172.3025,1,4,0,-0.3,0,1,1,655254,1,0,0,0,5278
2014,Monthly,3,0,Retail,1,83284.3692,65290,0,0,0.3,0,0,3772.1692,0.4923,12539.5787,0,3,1,-0.2,-0.2,1,1,0,1,0,0,0,5279
2013,Monthly,4,0,Unknown,14,740954.9696,703887,0,0,0.1,0,0,50774.7272,0,487082.53,1,3,33,0,0,1,1,24733,1,0,0,0,5280
2010,Monthly,4,0,Unknown,1,26634.28,0,0,0,0.8,0,0,248.56,0,12812.51,0,0,0,0,0,1,1,0,1,0,1,0,5281
2010,Monthly,4,0,Unknown,1,14349.0833,13677,0,0,0.6,0,0,583.1875,0,29595.5,1,1,0,0,0,1,1,-7030,1,1,0,0,5282
2012,Annual,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5283
2011,Monthly,4,0,Unknown,1,15233.7105,16617,0.6,0,0.1,0,0,381.8157,0,3495.59,1,1,0,0,0,1,1,-1746,1,1,0,0,5284
2012,Annual,4,0,Unknown,1,4473.0869,8280,0,0,0.1,0,0,268.6956,0,10531.625,0,6,5,-0.1,0,1,1,-141893.5,1,1,0,1,5285
2010,Monthly,1,0,Unknown,1,492060.0677,0,0,0,0,0,0,4835.945,0,0,0,2,0,0,0,0,0,0,1,0,0,1,5286
2011,Monthly,4,0,Unknown,4,180058.1428,106883,0.2,0,0.3,0,0,9621.9047,11.1904,14883,0,0,0,0,0,1,1,0,1,1,1,0,5287
2013,Quarterly,4,0,Finance,1,1332.8823,0,0,0,0.1,0,0,105.9702,0,7090979.93,2,14,449,1,0,1,1,3230161,1,1,0,0,5288
2010,Monthly,4,0,Unknown,1,6993.7692,14144,0,0,0.2,0.1,0,422.7438,0,0,0,11,0,0,0,0,1,0,1,0,0,0,5289
2015,Monthly,4,1,Manufacturing,1,2579429.6,0,0,0,1,0.1,0.4,285.729,20.9,367696.9262,1,39,38,-0.3,1,1,1,0,1,1,0,0,5290
2016,Quarterly,3,1,Construction,1,204622.7377,0,0,0,1,0,0,0,4488.4918,82051.1162,1,25,1,-0.6,-0.6,1,1,8374057,1,0,0,0,5291
2013,Monthly,3,2,Unknown,1,23678619.72,595459,0,0,1,0.7,0,4580.7714,166.7807,57435.4225,1,7,0,-0.4,-0.5,1,1,0,1,0,0,0,5292
2009,Annual,3,0,Unknown,1,3583152.929,1522,0,0,1,0.1,0,128.53,0,0,0,32,1,-0.3,0,0,0,0,1,0,0,0,5293
