flngCustomerKey,fblnAuditSuccesful,fstrFiling,fintPreviousAudits,flngSiteCount,fcurTotalReceipts,fcurUseTax,fcurWages,flngCollectCount,flngPaymentCount,fblnHasCigAcct,fblnHasLiqAcct,flngYearsOpen,fcurCorpIncome,fblnInState,fstrNAICS,fdblPercentFiledOnTime,flngOtherAcctCount,flngTotalCRMNotes,flngEmployeeCount,fstrFDSWebDomain,flngFDSEmployeeCount,fcurFDSPropertyStateValue,fstrFDSSalesVolume,flngFDSLocationCount,fstrFDSExpenses,fstrFDSCreditRating,fstrFDSRating,fstrFDSBusinessComplexity,fstrFDSBusinessCollectability,fblnFDSBusinessActive,flngFDSLienCount,flngFDSUCCFilingsCount,flngFDSBankruptcyCount,flngFDSCurrentVehicleCount,flngFDSAircraftCount,flngFDSPropertyStateCount,flngFDSAddressStateCount,fblnFDSSubsidiaries,fblnFDSFranchise,fdblFDSPcntAgriculture,fdblFDSPcntConstruction,fdblFDSPcntFinancial,fdblFDSPcntGovernment,fdblFDSPcntHealthCare,fdblFDSPcntInformation,fdblFDSPcntHospitality,fdblFDSPcntManufacturing,fdblFDSPcntOther,fdblFDSPcntProfessional,fdblFDSPcntRestaurant,fdblFDSPcntRetail,fdblFDSPcntTransportion,fdblFDSPcntWholesaleTrade,fstrFDSPrimaryBusiness
32477184,0,ST1AC,1,25,1000000,10000,50000,2,296,0,0,25,0,0,448120,0.89,1,174,135,NONE,0,0,MEDIUM,4,MEDIUM,MEDIUM,UNKNOWN,HIGH,MEDIUM,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0.7143,0.1429,0,RETAIL
32647680,1,ST1MO,0,1,500000,0,50000,0,49,0,0,26,10000,0,561990,0.78,3,48,1,COM,90,12605400,MEDIUM,1,HIGH,MEDIUM,MEDIUM,LOW,HIGH,1,7,29,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0.2857,0,0.1429,0,0.2857,0,0.2857,MIX
32739328,0,ST1MO,0,1,500000,0,50000,0,55,0,0,43,50000,1,424910,0.95,3,22,3,NONE,0,90390,MEDIUM,1,MEDIUM,LOW,UNKNOWN,LOW,HIGH,0,0,25,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRADE
32746496,0,ST1MO,0,1,100000,0,500000,0,62,0,1,53,50000,1,713910,0.78,4,39,9,COM,0,361180,MEDIUM,1,LOW,LOW,UNKNOWN,LOW,HIGH,1,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HOSPITALITY
32761856,0,ST1QTR,0,1,500000,0,0,0,41,0,0,5,10000,1,454110,0.96,1,8,0,COM,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,RETAIL
32827392,0,ST1MO,0,1,500000,0,500000,0,5,0,0,17,500000,0,561920,0.08,4,10,22,NONE,0,0,MEDIUM,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
32902144,0,ST1AN,0,5,50000,50000,0,0,7,0,0,22,0,0,NULL,0.59,1,28,0,COM,948,0,UNKNOWN,3,HIGH,HIGH,UNKNOWN,LOW,HIGH,1,7,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
33156096,0,ST1AN,0,1,1000000,0,50000,0,0,0,0,27,10000,1,425120,0.75,3,1,0,COM,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRADE
33420288,0,ST1MO,0,5,500000,0,50000,0,2,0,0,21,100000,1,444110,0.89,3,3,0,NONE,0,0,MEDIUM,1,MEDIUM,MEDIUM,UNKNOWN,MEDIUM,MEDIUM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0.5714,0,0.2857,RETAIL
33582080,0,ST1MO,0,1,10000,0,50000,1,0,0,0,3,-100000,0,311991,0.33,4,42,1,COM,7,15046600,MEDIUM,3,MEDIUM,LOW,UNKNOWN,LOW,HIGH,1,19,56,0,89,0,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,MIX
33680128,0,ST1QTR,0,1,0,0,50000,0,0,0,0,2,0,1,NULL,0,0,34,0,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HEALTHCARE
